,Type
1072,BIT (Bituminous Coal)
1073,DFO (Distillate Fuel Oil)
1074,BIT (Bituminous Coal)
1075,WAT (Water)
1076,WND (Wind)
1077,NG (Natural Gas)
1078,WAT (Water)
1079,WAT (Water)
1080,WND (Wind)
1081,WAT (Water)
1082,DFO (Distillate Fuel Oil)
1083,WAT (Water)
1084,DFO (Distillate Fuel Oil)
1085,DFO (Distillate Fuel Oil)
1086,WAT (Water)
1087,NG (Natural Gas)
1088,WAT (Water)
1089,DFO (Distillate Fuel Oil)
1090,DFO (Distillate Fuel Oil)
1091,NG (Natural Gas)
1092,WND (Wind)
1093,WND (Wind)
1094,DFO (Distillate Fuel Oil)
1095,NG (Natural Gas)
1096,WAT (Water)
1097,NG (Natural Gas)
1098,NG (Natural Gas)
1099,DFO (Distillate Fuel Oil)
1100,WAT (Water)
1101,DFO (Distillate Fuel Oil)
1102,BIT (Bituminous Coal)
1103,NG (Natural Gas)
1104,WAT (Water)
1105,NG (Natural Gas)
1106,NG (Natural Gas)
1107,NG (Natural Gas)
1108,NG (Natural Gas)
1109,NG (Natural Gas)
1110,BIT (Bituminous Coal)
1111,NG (Natural Gas)
1112,WAT (Water)
1113,DFO (Distillate Fuel Oil)
1114,DFO (Distillate Fuel Oil)
1115,DFO (Distillate Fuel Oil)
1116,DFO (Distillate Fuel Oil)
1117,WAT (Water)
1118,NG (Natural Gas)
1119,NG (Natural Gas)
1120,DFO (Distillate Fuel Oil)
1121,NG (Natural Gas)
1122,NG (Natural Gas)
1123,NG (Natural Gas)
1124,NG (Natural Gas)
1125,NG (Natural Gas)
1126,DFO (Distillate Fuel Oil)
1127,BIT (Bituminous Coal)
1128,WAT (Water)
1129,BIT (Bituminous Coal)
1130,NUC (Nuclear)
1131,NG (Natural Gas)
1132,WAT (Water)
1133,BIT (Bituminous Coal)
1134,BIT (Bituminous Coal)
1135,NG (Natural Gas)
1136,WAT (Water)
1137,NG (Natural Gas)
1138,DFO (Distillate Fuel Oil)
1139,NG (Natural Gas)
1140,BIT (Bituminous Coal)
1141,NG (Natural Gas)
1142,WND (Wind)
1143,BIT (Bituminous Coal)
1144,NG (Natural Gas)
1145,NG (Natural Gas)
1146,BIT (Bituminous Coal)
1147,NG (Natural Gas)
1148,WAT (Water)
1149,SUN (Solar)
1150,NG (Natural Gas)
1151,SUN (Solar)
1152,DFO (Distillate Fuel Oil)
1153,BIT (Bituminous Coal)
1154,BIT (Bituminous Coal)
1155,NG (Natural Gas)
1156,WND (Wind)
1157,BIT (Bituminous Coal)
1158,WAT (Water)
1159,BIT (Bituminous Coal)
1160,NG (Natural Gas)
1161,NG (Natural Gas)
1162,NG (Natural Gas)
1163,DFO (Distillate Fuel Oil)
1164,NG (Natural Gas)
1165,WND (Wind)
1166,WAT (Water)
1167,WND (Wind)
1168,NG (Natural Gas)
1169,BIT (Bituminous Coal)
1170,BIT (Bituminous Coal)
1171,BIT (Bituminous Coal)
1172,BIT (Bituminous Coal)
1173,NG (Natural Gas)
1174,NG (Natural Gas)
1175,NG (Natural Gas)
1176,NG (Natural Gas)
1177,NG (Natural Gas)
1178,NG (Natural Gas)
1179,NG (Natural Gas)
1180,BIT (Bituminous Coal)
1181,NG (Natural Gas)
1182,BIT (Bituminous Coal)
1183,NG (Natural Gas)
1184,NG (Natural Gas)
1185,NG (Natural Gas)
1186,NG (Natural Gas)
1187,NG (Natural Gas)
1188,WND (Wind)
1189,NG (Natural Gas)
1190,BIT (Bituminous Coal)
1191,NG (Natural Gas)
1192,WAT (Water)
1193,DFO (Distillate Fuel Oil)
1194,NG (Natural Gas)
1195,NG (Natural Gas)
1196,NG (Natural Gas)
1197,DFO (Distillate Fuel Oil)
1198,NG (Natural Gas)
1199,DFO (Distillate Fuel Oil)
1200,NG (Natural Gas)
1201,NUC (Nuclear)
1202,NG (Natural Gas)
1203,WND (Wind)
1204,WAT (Water)
1205,NG (Natural Gas)
1206,NG (Natural Gas)
1207,NG (Natural Gas)
1208,BIT (Bituminous Coal)
1209,WND (Wind)
1210,NG (Natural Gas)
1211,NG (Natural Gas)
1212,NG (Natural Gas)
1213,WAT (Water)
1214,NG (Natural Gas)
1215,NG (Natural Gas)
1216,WND (Wind)
1217,WND (Wind)
1218,NG (Natural Gas)
1219,NUC (Nuclear)
1220,WND (Wind)
1221,NG (Natural Gas)
1222,NG (Natural Gas)
1223,BIT (Bituminous Coal)
1224,WND (Wind)
1225,BIT (Bituminous Coal)
1226,WND (Wind)
1227,WND (Wind)
1228,NG (Natural Gas)
1229,NG (Natural Gas)
1230,NG (Natural Gas)
1231,NUC (Nuclear)
1232,WND (Wind)
1233,BIT (Bituminous Coal)
1234,BIT (Bituminous Coal)
1235,NG (Natural Gas)
1236,WND (Wind)
1237,NG (Natural Gas)
1238,NG (Natural Gas)
1239,WND (Wind)
1240,DFO (Distillate Fuel Oil)
1241,DFO (Distillate Fuel Oil)
1242,NG (Natural Gas)
1243,BIT (Bituminous Coal)
1244,DFO (Distillate Fuel Oil)
1245,NG (Natural Gas)
1246,NG (Natural Gas)
1247,WND (Wind)
1248,DFO (Distillate Fuel Oil)
1249,BIT (Bituminous Coal)
1250,BIT (Bituminous Coal)
1251,NG (Natural Gas)
1252,DFO (Distillate Fuel Oil)
1253,DFO (Distillate Fuel Oil)
1254,WND (Wind)
1255,DFO (Distillate Fuel Oil)
1256,DFO (Distillate Fuel Oil)
1257,WND (Wind)
1258,DFO (Distillate Fuel Oil)
1259,BIT (Bituminous Coal)
1260,DFO (Distillate Fuel Oil)
1261,DFO (Distillate Fuel Oil)
1262,BIT (Bituminous Coal)
1263,NG (Natural Gas)
1264,NG (Natural Gas)
1265,NG (Natural Gas)
1266,DFO (Distillate Fuel Oil)
1267,DFO (Distillate Fuel Oil)
1268,DFO (Distillate Fuel Oil)
1269,BIT (Bituminous Coal)
1270,WND (Wind)
1271,WND (Wind)
1272,WAT (Water)
1273,WAT (Water)
1274,WAT (Water)
1275,WND (Wind)
1276,WAT (Water)
1277,WAT (Water)
1278,WAT (Water)
1279,WAT (Water)
1280,DFO (Distillate Fuel Oil)
1281,WAT (Water)
1282,WAT (Water)
1283,WAT (Water)
1284,DFO (Distillate Fuel Oil)
1285,NG (Natural Gas)
1286,WAT (Water)
1287,WAT (Water)
1288,DFO (Distillate Fuel Oil)
1289,DFO (Distillate Fuel Oil)
1290,WAT (Water)
1291,NG (Natural Gas)
1292,WAT (Water)
1293,WAT (Water)
1294,BIT (Bituminous Coal)
1295,WND (Wind)
1296,WAT (Water)
1297,WAT (Water)
1298,NG (Natural Gas)
1299,WND (Wind)
1300,BIT (Bituminous Coal)
1301,WAT (Water)
1302,WAT (Water)
1303,WND (Wind)
1304,NG (Natural Gas)
1305,DFO (Distillate Fuel Oil)
1306,NG (Natural Gas)
1307,WAT (Water)
1308,WAT (Water)
1309,WAT (Water)
1310,NG (Natural Gas)
1311,NG (Natural Gas)
1312,DFO (Distillate Fuel Oil)
1313,WAT (Water)
1314,WAT (Water)
1315,WAT (Water)
1316,BIT (Bituminous Coal)
1317,DFO (Distillate Fuel Oil)
1318,DFO (Distillate Fuel Oil)
1319,NG (Natural Gas)
1320,DFO (Distillate Fuel Oil)
1321,DFO (Distillate Fuel Oil)
1322,BIT (Bituminous Coal)
1323,DFO (Distillate Fuel Oil)
1324,DFO (Distillate Fuel Oil)
1325,WAT (Water)
1326,WAT (Water)
1327,NG (Natural Gas)
1328,WND (Wind)
1329,BIT (Bituminous Coal)
1330,WND (Wind)
1331,WAT (Water)
1332,WAT (Water)
1333,DFO (Distillate Fuel Oil)
1334,DFO (Distillate Fuel Oil)
1335,WND (Wind)
1336,BIT (Bituminous Coal)
1337,DFO (Distillate Fuel Oil)
1338,WAT (Water)
1339,NG (Natural Gas)
1340,WAT (Water)
1341,WAT (Water)
1342,DFO (Distillate Fuel Oil)
1343,NG (Natural Gas)
1344,WAT (Water)
1345,NG (Natural Gas)
1346,DFO (Distillate Fuel Oil)
1347,WND (Wind)
1348,WAT (Water)
1349,WAT (Water)
1350,DFO (Distillate Fuel Oil)
1351,WND (Wind)
1352,BIT (Bituminous Coal)
1353,DFO (Distillate Fuel Oil)
1354,WND (Wind)
1355,WAT (Water)
1356,BIT (Bituminous Coal)
1357,DFO (Distillate Fuel Oil)
1358,WAT (Water)
1359,BIT (Bituminous Coal)
1360,BIT (Bituminous Coal)
1361,NG (Natural Gas)
1362,WAT (Water)
1363,DFO (Distillate Fuel Oil)
1364,DFO (Distillate Fuel Oil)
1365,WAT (Water)
1366,BIT (Bituminous Coal)
1367,WAT (Water)
1368,BIT (Bituminous Coal)
1369,WAT (Water)
1370,BIT (Bituminous Coal)
1371,DFO (Distillate Fuel Oil)
1372,BIT (Bituminous Coal)
1373,DFO (Distillate Fuel Oil)
1374,DFO (Distillate Fuel Oil)
1375,WND (Wind)
1376,WND (Wind)
1377,DFO (Distillate Fuel Oil)
1378,DFO (Distillate Fuel Oil)
1379,BIT (Bituminous Coal)
1380,DFO (Distillate Fuel Oil)
1381,DFO (Distillate Fuel Oil)
1382,NG (Natural Gas)
1383,WND (Wind)
1384,DFO (Distillate Fuel Oil)
1385,WND (Wind)
1386,NG (Natural Gas)
1387,DFO (Distillate Fuel Oil)
1388,DFO (Distillate Fuel Oil)
1389,WND (Wind)
1390,WND (Wind)
1391,NG (Natural Gas)
1392,NUC (Nuclear)
1393,DFO (Distillate Fuel Oil)
1394,DFO (Distillate Fuel Oil)
1395,NG (Natural Gas)
1396,NG (Natural Gas)
1397,BIT (Bituminous Coal)
1398,NG (Natural Gas)
1399,DFO (Distillate Fuel Oil)
1400,WND (Wind)
1401,NG (Natural Gas)
1402,WND (Wind)
1403,BIT (Bituminous Coal)
1404,WND (Wind)
1405,DFO (Distillate Fuel Oil)
1406,DFO (Distillate Fuel Oil)
1407,NG (Natural Gas)
1408,DFO (Distillate Fuel Oil)
1409,WND (Wind)
1410,NG (Natural Gas)
1411,NG (Natural Gas)
1412,WND (Wind)
1413,DFO (Distillate Fuel Oil)
1414,DFO (Distillate Fuel Oil)
1415,NG (Natural Gas)
1416,DFO (Distillate Fuel Oil)
1417,WND (Wind)
1418,NG (Natural Gas)
1419,WND (Wind)
1420,WAT (Water)
1421,WND (Wind)
1422,BIT (Bituminous Coal)
1423,WND (Wind)
1424,WND (Wind)
1425,WND (Wind)
1426,DFO (Distillate Fuel Oil)
1427,NG (Natural Gas)
1428,WND (Wind)
1429,DFO (Distillate Fuel Oil)
1430,DFO (Distillate Fuel Oil)
1431,WND (Wind)
1432,BIT (Bituminous Coal)
1433,NG (Natural Gas)
1434,DFO (Distillate Fuel Oil)
1435,DFO (Distillate Fuel Oil)
1436,WND (Wind)
1437,NG (Natural Gas)
1438,DFO (Distillate Fuel Oil)
1439,WND (Wind)
1440,NG (Natural Gas)
1441,DFO (Distillate Fuel Oil)
1442,DFO (Distillate Fuel Oil)
1443,DFO (Distillate Fuel Oil)
1444,WND (Wind)
1445,WND (Wind)
1446,DFO (Distillate Fuel Oil)
1447,DFO (Distillate Fuel Oil)
1448,NG (Natural Gas)
1449,BIT (Bituminous Coal)
1450,DFO (Distillate Fuel Oil)
1451,BIT (Bituminous Coal)
1452,DFO (Distillate Fuel Oil)
1453,DFO (Distillate Fuel Oil)
1454,DFO (Distillate Fuel Oil)
1455,WND (Wind)
1456,DFO (Distillate Fuel Oil)
1457,NG (Natural Gas)
1458,WND (Wind)
1459,BIT (Bituminous Coal)
1460,DFO (Distillate Fuel Oil)
1461,DFO (Distillate Fuel Oil)
1462,DFO (Distillate Fuel Oil)
1463,DFO (Distillate Fuel Oil)
1464,NG (Natural Gas)
1465,DFO (Distillate Fuel Oil)
1466,DFO (Distillate Fuel Oil)
1467,WND (Wind)
1468,NG (Natural Gas)
1469,DFO (Distillate Fuel Oil)
1470,WND (Wind)
1471,DFO (Distillate Fuel Oil)
1472,NG (Natural Gas)
1473,DFO (Distillate Fuel Oil)
1474,DFO (Distillate Fuel Oil)
1475,WND (Wind)
1476,NG (Natural Gas)
1477,NG (Natural Gas)
1478,BIT (Bituminous Coal)
1479,DFO (Distillate Fuel Oil)
1480,BIT (Bituminous Coal)
1481,DFO (Distillate Fuel Oil)
1482,NUC (Nuclear)
1483,DFO (Distillate Fuel Oil)
1484,WND (Wind)
1485,BIT (Bituminous Coal)
1486,WND (Wind)
1487,DFO (Distillate Fuel Oil)
1488,WND (Wind)
1489,WND (Wind)
1490,NG (Natural Gas)
1491,DFO (Distillate Fuel Oil)
1492,WND (Wind)
1493,DFO (Distillate Fuel Oil)
1494,WND (Wind)
1495,NG (Natural Gas)
1496,DFO (Distillate Fuel Oil)
1497,DFO (Distillate Fuel Oil)
1498,DFO (Distillate Fuel Oil)
1499,DFO (Distillate Fuel Oil)
1500,DFO (Distillate Fuel Oil)
1501,DFO (Distillate Fuel Oil)
1502,WND (Wind)
1503,WND (Wind)
1504,DFO (Distillate Fuel Oil)
1505,DFO (Distillate Fuel Oil)
1506,WND (Wind)
1507,DFO (Distillate Fuel Oil)
1508,DFO (Distillate Fuel Oil)
1509,WND (Wind)
1510,DFO (Distillate Fuel Oil)
1511,DFO (Distillate Fuel Oil)
1512,WND (Wind)
1513,DFO (Distillate Fuel Oil)
1514,DFO (Distillate Fuel Oil)
1515,DFO (Distillate Fuel Oil)
1516,WND (Wind)
1517,WND (Wind)
1518,DFO (Distillate Fuel Oil)
1519,BIT (Bituminous Coal)
1520,NG (Natural Gas)
1521,WND (Wind)
1522,WND (Wind)
1523,WND (Wind)
1524,WND (Wind)
1525,WND (Wind)
1526,BIT (Bituminous Coal)
1527,NG (Natural Gas)
1528,DFO (Distillate Fuel Oil)
1529,NG (Natural Gas)
1530,DFO (Distillate Fuel Oil)
1531,DFO (Distillate Fuel Oil)
1532,DFO (Distillate Fuel Oil)
1533,NG (Natural Gas)
1534,WND (Wind)
1535,WND (Wind)
1536,DFO (Distillate Fuel Oil)
1537,DFO (Distillate Fuel Oil)
1538,DFO (Distillate Fuel Oil)
1539,DFO (Distillate Fuel Oil)
1540,DFO (Distillate Fuel Oil)
1541,NG (Natural Gas)
1542,DFO (Distillate Fuel Oil)
1543,WND (Wind)
1544,BIT (Bituminous Coal)
1545,WND (Wind)
1546,DFO (Distillate Fuel Oil)
1547,BIT (Bituminous Coal)
1548,NG (Natural Gas)
1549,BIT (Bituminous Coal)
1550,DFO (Distillate Fuel Oil)
1551,BIT (Bituminous Coal)
1552,DFO (Distillate Fuel Oil)
1553,NG (Natural Gas)
1554,NG (Natural Gas)
1555,NG (Natural Gas)
1556,BIT (Bituminous Coal)
1557,NG (Natural Gas)
1558,DFO (Distillate Fuel Oil)
1559,BIT (Bituminous Coal)
1560,DFO (Distillate Fuel Oil)
1561,NG (Natural Gas)
1562,DFO (Distillate Fuel Oil)
1563,NG (Natural Gas)
1564,DFO (Distillate Fuel Oil)
1565,DFO (Distillate Fuel Oil)
1566,NG (Natural Gas)
1567,WAT (Water)
1568,DFO (Distillate Fuel Oil)
1569,BIT (Bituminous Coal)
1570,DFO (Distillate Fuel Oil)
1571,NG (Natural Gas)
1572,WAT (Water)
1573,WAT (Water)
1574,NG (Natural Gas)
1575,BIT (Bituminous Coal)
1576,NG (Natural Gas)
1577,BIT (Bituminous Coal)
1578,NG (Natural Gas)
1579,BIT (Bituminous Coal)
1580,WAT (Water)
1581,NG (Natural Gas)
1582,NG (Natural Gas)
1583,DFO (Distillate Fuel Oil)
1584,NG (Natural Gas)
1585,NG (Natural Gas)
1586,NG (Natural Gas)
1587,NG (Natural Gas)
1588,DFO (Distillate Fuel Oil)
1589,DFO (Distillate Fuel Oil)
1590,BIT (Bituminous Coal)
1591,DFO (Distillate Fuel Oil)
1592,NG (Natural Gas)
1593,BIT (Bituminous Coal)
1594,WAT (Water)
1595,WND (Wind)
1596,DFO (Distillate Fuel Oil)
1597,WND (Wind)
1598,NG (Natural Gas)
1599,NG (Natural Gas)
1600,BIT (Bituminous Coal)
1601,NG (Natural Gas)
1602,DFO (Distillate Fuel Oil)
1603,NG (Natural Gas)
1604,NG (Natural Gas)
1605,WAT (Water)
1606,WAT (Water)
1607,WAT (Water)
1608,NG (Natural Gas)
1609,NUC (Nuclear)
1610,NG (Natural Gas)
1611,WAT (Water)
1612,NG (Natural Gas)
1613,BIT (Bituminous Coal)
1614,NG (Natural Gas)
1615,NG (Natural Gas)
1616,WAT (Water)
1617,WAT (Water)
1618,WAT (Water)
1619,NG (Natural Gas)
1620,NG (Natural Gas)
1621,WAT (Water)
1622,WAT (Water)
1623,NG (Natural Gas)
1624,WAT (Water)
1625,NG (Natural Gas)
1626,BIT (Bituminous Coal)
1627,NG (Natural Gas)
1628,NG (Natural Gas)
1629,NG (Natural Gas)
1630,NG (Natural Gas)
1631,NG (Natural Gas)
1632,NG (Natural Gas)
1633,NG (Natural Gas)
1634,NG (Natural Gas)
1635,NG (Natural Gas)
1636,NG (Natural Gas)
1637,BIT (Bituminous Coal)
1638,NG (Natural Gas)
1639,NG (Natural Gas)
1640,NG (Natural Gas)
1641,NG (Natural Gas)
1642,NG (Natural Gas)
1643,NG (Natural Gas)
1644,NUC (Nuclear)
1645,NG (Natural Gas)
1646,NG (Natural Gas)
1647,WAT (Water)
1648,NG (Natural Gas)
1649,NG (Natural Gas)
1650,NG (Natural Gas)
1651,NG (Natural Gas)
1652,DFO (Distillate Fuel Oil)
1653,NG (Natural Gas)
1654,NG (Natural Gas)
1655,NG (Natural Gas)
1656,NG (Natural Gas)
1657,NG (Natural Gas)
1658,NG (Natural Gas)
1659,NG (Natural Gas)
1660,WAT (Water)
1661,BIT (Bituminous Coal)
1662,NG (Natural Gas)
1663,NG (Natural Gas)
1664,BIT (Bituminous Coal)
1665,NG (Natural Gas)
1666,BIT (Bituminous Coal)
1667,NG (Natural Gas)
1668,NG (Natural Gas)
1669,NG (Natural Gas)
1670,NG (Natural Gas)
1671,WND (Wind)
1672,NG (Natural Gas)
1673,NG (Natural Gas)
1674,NG (Natural Gas)
1675,WND (Wind)
1676,WND (Wind)
1677,NG (Natural Gas)
1678,BIT (Bituminous Coal)
1679,NG (Natural Gas)
1680,WND (Wind)
1681,WND (Wind)
1682,NG (Natural Gas)
1683,WND (Wind)
1684,WND (Wind)
1685,WAT (Water)
1686,NG (Natural Gas)
1687,WND (Wind)
1688,BIT (Bituminous Coal)
1689,WND (Wind)
1690,WND (Wind)
1691,NG (Natural Gas)
1692,WND (Wind)
1693,WND (Wind)
1694,DFO (Distillate Fuel Oil)
1695,WND (Wind)
1696,NG (Natural Gas)
1697,NG (Natural Gas)
1698,WND (Wind)
1699,NG (Natural Gas)
1700,WAT (Water)
1701,NG (Natural Gas)
1702,NG (Natural Gas)
1703,NG (Natural Gas)
1704,WAT (Water)
1705,WND (Wind)
1706,WND (Wind)
1707,WND (Wind)
1708,WAT (Water)
1709,WAT (Water)
1710,DFO (Distillate Fuel Oil)
1711,BIT (Bituminous Coal)
1712,WND (Wind)
1713,WND (Wind)
1714,NG (Natural Gas)
1715,NG (Natural Gas)
1716,WAT (Water)
1717,NG (Natural Gas)
1718,NG (Natural Gas)
1719,BIT (Bituminous Coal)
1720,WAT (Water)
1721,NG (Natural Gas)
1722,WAT (Water)
1723,WND (Wind)
1724,BIT (Bituminous Coal)
1725,NG (Natural Gas)
1726,NG (Natural Gas)
1727,WAT (Water)
1728,WND (Wind)
1729,WAT (Water)
1730,BIT (Bituminous Coal)
1731,WND (Wind)
1732,NG (Natural Gas)
1733,NG (Natural Gas)
1734,NG (Natural Gas)
1735,DFO (Distillate Fuel Oil)
1736,NG (Natural Gas)
1737,NG (Natural Gas)
1738,NG (Natural Gas)
1739,NG (Natural Gas)
1740,WND (Wind)
1741,DFO (Distillate Fuel Oil)
1742,NG (Natural Gas)
1743,NG (Natural Gas)
1744,NG (Natural Gas)
1745,DFO (Distillate Fuel Oil)
1746,NG (Natural Gas)
1747,DFO (Distillate Fuel Oil)
1748,WND (Wind)
1749,WND (Wind)
1750,WND (Wind)
1751,DFO (Distillate Fuel Oil)
1752,NG (Natural Gas)
1753,DFO (Distillate Fuel Oil)
1754,WND (Wind)
1755,DFO (Distillate Fuel Oil)
1756,NG (Natural Gas)
1757,NG (Natural Gas)
1758,DFO (Distillate Fuel Oil)
1759,NG (Natural Gas)
1760,DFO (Distillate Fuel Oil)
1761,NG (Natural Gas)
1762,BIT (Bituminous Coal)
1763,BIT (Bituminous Coal)
1764,DFO (Distillate Fuel Oil)
1765,NG (Natural Gas)
1766,NG (Natural Gas)
1767,DFO (Distillate Fuel Oil)
1768,NG (Natural Gas)
1769,BIT (Bituminous Coal)
1770,NG (Natural Gas)
1771,DFO (Distillate Fuel Oil)
1772,DFO (Distillate Fuel Oil)
1773,DFO (Distillate Fuel Oil)
1774,WND (Wind)
1775,NG (Natural Gas)
1776,NG (Natural Gas)
1777,NG (Natural Gas)
1778,DFO (Distillate Fuel Oil)
1779,DFO (Distillate Fuel Oil)
1780,BIT (Bituminous Coal)
1781,NG (Natural Gas)
1782,DFO (Distillate Fuel Oil)
1783,NG (Natural Gas)
1784,NG (Natural Gas)
1785,DFO (Distillate Fuel Oil)
1786,NG (Natural Gas)
1787,NG (Natural Gas)
1788,DFO (Distillate Fuel Oil)
1789,DFO (Distillate Fuel Oil)
1790,WND (Wind)
1791,DFO (Distillate Fuel Oil)
1792,BIT (Bituminous Coal)
1793,DFO (Distillate Fuel Oil)
1794,WAT (Water)
1795,WAT (Water)
1796,NG (Natural Gas)
1797,DFO (Distillate Fuel Oil)
1798,DFO (Distillate Fuel Oil)
1799,DFO (Distillate Fuel Oil)
1800,WND (Wind)
1801,DFO (Distillate Fuel Oil)
1802,WND (Wind)
1803,DFO (Distillate Fuel Oil)
1804,NG (Natural Gas)
1805,NUC (Nuclear)
1806,DFO (Distillate Fuel Oil)
1807,DFO (Distillate Fuel Oil)
1808,NG (Natural Gas)
1809,DFO (Distillate Fuel Oil)
1810,WAT (Water)
1811,DFO (Distillate Fuel Oil)
1812,NG (Natural Gas)
1813,NG (Natural Gas)
1814,WND (Wind)
1815,DFO (Distillate Fuel Oil)
1816,NG (Natural Gas)
1817,NG (Natural Gas)
1818,DFO (Distillate Fuel Oil)
1819,BIT (Bituminous Coal)
1820,BIT (Bituminous Coal)
1821,DFO (Distillate Fuel Oil)
1822,NG (Natural Gas)
1823,NG (Natural Gas)
1824,NG (Natural Gas)
1825,WND (Wind)
1826,WND (Wind)
1827,NUC (Nuclear)
1828,DFO (Distillate Fuel Oil)
1829,DFO (Distillate Fuel Oil)
1830,WND (Wind)
1831,WND (Wind)
1832,NG (Natural Gas)
1833,NG (Natural Gas)
1834,WND (Wind)
1835,WND (Wind)
1836,BIT (Bituminous Coal)
1837,WAT (Water)
1838,DFO (Distillate Fuel Oil)
1839,DFO (Distillate Fuel Oil)
1840,WND (Wind)
1841,WAT (Water)
1842,WAT (Water)
1843,WND (Wind)
1844,BIT (Bituminous Coal)
1845,WND (Wind)
1846,WND (Wind)
1847,WND (Wind)
1848,BIT (Bituminous Coal)
1849,BIT (Bituminous Coal)
1850,NG (Natural Gas)
1851,WND (Wind)
1852,WND (Wind)
1853,WAT (Water)
1854,BIT (Bituminous Coal)
1855,BIT (Bituminous Coal)
1856,NG (Natural Gas)
1857,NG (Natural Gas)
1858,WAT (Water)
